4,165
-4,13
5,028
-2,288
5,008
2,432
-0,103
9,589
14,781
-0,866
2,654
-5,348
1,006
0,483
17,965
7,585
9,425
10,288
2,929
0,901
9,815
4,128
-6,965
5,164
14,982
-4,814
0,689
15,503
-7,703
16,258
28,096
1,985
9,683
5,261
6,32
7,018
2,957
-2,79
4,426
-0,211
-1,739
5,488
12,098
18,743
13,899
5,756
15,015
11,208
7,624
-5,018
2,645
5,851
4,251
8,832
1,268
0,115
5,438
5,494
12,405
2,917
11,874
-2,371
2,57
-1,563
8,453
3,478
18,667
-2,2
13,452
14,069
9,295
13,703
0,226
-7,03
12,612
1,592
1,393
4,81
1,049
22,646
7,369
-2,687
11,782
3,618
3,111
1,858
-8,369
2,734
11,374
-1,741
15,142
-1,532
7,703
0,243
8,762
-8,394
-0,382
2,15
-0,856
-1,094
